column_name,data_type,missing_count_sample,missing_percentage_sample,unique_values_sample
client_id,int64,0,0.0,354
client_tag_name,object,541,54.1,2
client_tag_num,int64,0,0.0,3
campaign_id,int64,0,0.0,1000
campaign_test_id,int64,0,0.0,5
campaign_test_part,object,0,0.0,3
campaign_test_type,object,0,0.0,3
campaign_sent_time,object,0,0.0,964
message_content_size,int64,0,0.0,768
message_images_count,int64,0,0.0,34
message_embedded_images_count,int64,0,0.0,11
message_embedded_images_size,int64,0,0.0,28
message_embedded_files_count,int64,0,0.0,3
message_embedded_files_size,int64,0,0.0,26
message_links_count,int64,0,0.0,47
message_links_blocked_count,int64,0,0.0,1
message_personalization_tags_count,int64,0,0.0,8
message_personalization_tags_in_sender_email_count,int64,0,0.0,2
message_personalization_tags_in_subject_count,int64,0,0.0,4
message_personalization_tags_in_html_body_count,int64,0,0.0,8
message_personalization_tags_in_text_body_count,int64,0,0.0,2
custom_fields_used_in_campaign,int64,0,0.0,8
campaign_subscribers_count,int64,0,0.0,599
campaign_phantom_bounce_count,int64,0,0.0,9
campaign_subscribers_blocked_count,int64,0,0.0,101
campaign_opens_count,int64,0,0.0,528
campaign_unique_opens_count,int64,0,0.0,473
campaign_clicks_count,int64,0,0.0,241
campaign_unique_clicks_count,int64,0,0.0,187
campaign_soft_bounced_count,int64,0,0.0,51
campaign_hard_bounced_count,int64,0,0.0,97
campaign_resigned_count,int64,0,0.0,53
campaign_complaint_count,int64,0,0.0,3
campaign_phishing_count,int64,0,0.0,2
campaign_moderation_rejected_count,int64,0,0.0,1
campaign_moderation,int64,0,0.0,2
campaign_landing_page,int64,0,0.0,1
campaign_opens_count_0,int64,0,0.0,136
campaign_unique_opens_count_0,int64,0,0.0,133
campaign_clicks_count_0,int64,0,0.0,78
campaign_unique_clicks_count_0,int64,0,0.0,42
campaign_soft_bounced_count_0,int64,0,0.0,15
campaign_hard_bounced_count_0,int64,0,0.0,17
campaign_resigned_count_0,int64,0,0.0,17
campaign_complaint_count_0,int64,0,0.0,1
campaign_opens_count_30,int64,0,0.0,317
campaign_unique_opens_count_30,int64,0,0.0,293
campaign_clicks_count_30,int64,0,0.0,143
campaign_unique_clicks_count_30,int64,0,0.0,95
campaign_soft_bounced_count_30,int64,0,0.0,52
campaign_hard_bounced_count_30,int64,0,0.0,57
campaign_resigned_count_30,int64,0,0.0,29
campaign_complaint_count_30,int64,0,0.0,1
campaign_opens_count_60,int64,0,0.0,364
campaign_unique_opens_count_60,int64,0,0.0,333
campaign_clicks_count_60,int64,0,0.0,156
campaign_unique_clicks_count_60,int64,0,0.0,106
campaign_soft_bounced_count_60,int64,0,0.0,51
campaign_hard_bounced_count_60,int64,0,0.0,59
campaign_resigned_count_60,int64,0,0.0,29
campaign_complaint_count_60,int64,0,0.0,1
campaign_opens_count_180,int64,0,0.0,429
campaign_unique_opens_count_180,int64,0,0.0,374
campaign_clicks_count_180,int64,0,0.0,189
campaign_unique_clicks_count_180,int64,0,0.0,129
campaign_soft_bounced_count_180,int64,0,0.0,51
campaign_hard_bounced_count_180,int64,0,0.0,59
campaign_resigned_count_180,int64,0,0.0,35
campaign_complaint_count_180,int64,0,0.0,1
campaign_opens_count_360,int64,0,0.0,458
campaign_unique_opens_count_360,int64,0,0.0,400
campaign_clicks_count_360,int64,0,0.0,205
campaign_unique_clicks_count_360,int64,0,0.0,154
campaign_soft_bounced_count_360,int64,0,0.0,51
campaign_hard_bounced_count_360,int64,0,0.0,59
